model,identity_variant,seed,method,n_obs,original_roc_auc,perturbed_roc_auc,roc_auc_drop,original_within_asset_roc_auc,perturbed_within_asset_roc_auc,within_asset_auc_drop,prediction_spearman,mean_absolute_probability_displacement,status,within_asset_auc_drop_ci_lower,within_asset_auc_drop_ci_upper,bootstrap_valid_draw_fraction
tcn,asset_conditioned,7,reverse,21514,0.7140770887715608,0.6960894564543649,0.017987632317195912,0.553517204498358,0.5131972504661493,0.04031995403220867,0.7536510061521937,0.12614215966633194,completed,,,
tcn,asset_conditioned,7,deterministic_permutation,21514,0.7140770887715608,0.6920892730198466,0.021987815751714268,0.553517204498358,0.5324299069408236,0.021087297557534357,0.7697070961130501,0.11991498266616027,completed,,,
tcn,asset_conditioned,7,circular_shift,21514,0.7140770887715608,0.7020432781875328,0.012033810584028082,0.553517204498358,0.5386736756170166,0.014843528881341328,0.7858065831300437,0.1083369569799165,completed,,,
tcn,asset_conditioned,42,reverse,21514,0.6939492779605071,0.6671883644649079,0.02676091349559917,0.503650257928804,0.45976111540162795,0.04388914252717607,0.5795810513664873,0.015532899134172268,completed,,,
tcn,asset_conditioned,42,deterministic_permutation,21514,0.6939492779605071,0.6903654388290031,0.003583839131503952,0.503650257928804,0.4973460427449257,0.006304215183878303,0.6068577671921792,0.013221656399565442,completed,,,
tcn,asset_conditioned,42,circular_shift,21514,0.6939492779605071,0.7049793641755291,-0.011030086215021995,0.503650257928804,0.5083700634759444,-0.004719805547140354,0.5121538368588162,0.015649638420103043,completed,,,
tcn,asset_conditioned,123,reverse,21514,0.7179385306904649,0.7144090129579849,0.003529517732480003,0.4713504887633498,0.47657022248581643,-0.005219733722466646,0.8956734469294236,0.10299132870312207,completed,,,
tcn,asset_conditioned,123,deterministic_permutation,21514,0.7179385306904649,0.7135406210456013,0.004397909644863529,0.4713504887633498,0.4685934168775183,0.0027570718858314636,0.8879999953770966,0.13200402491498112,completed,,,
tcn,asset_conditioned,123,circular_shift,21514,0.7179385306904649,0.7275303692467558,-0.009591838556290977,0.4713504887633498,0.4867999049923126,-0.015449416228962842,0.8974255922165122,0.11457796560385315,completed,,,
tcn,no_explicit_asset_id,7,reverse,21514,0.7134656856177294,0.6939199696336673,0.019545715984062073,0.5494189312772987,0.5244260781879133,0.02499285308938537,0.7108721376228986,0.0632981588032996,completed,,,
tcn,no_explicit_asset_id,7,deterministic_permutation,21514,0.7134656856177294,0.6794078370322262,0.0340578485855032,0.5494189312772987,0.5327620071654001,0.016656924111898563,0.6620405205511819,0.06259483574916055,completed,,,
tcn,no_explicit_asset_id,7,circular_shift,21514,0.7134656856177294,0.6848697642861648,0.028595921331564633,0.5494189312772987,0.5177840736963821,0.03163485758091655,0.7239063081132441,0.059696933850906596,completed,,,
tcn,no_explicit_asset_id,42,reverse,21514,0.6929586708840638,0.6996258481910423,-0.006667177306978522,0.5220174626405025,0.5331239750761271,-0.01110651243562455,0.638080122849813,0.08487280899881804,completed,,,
tcn,no_explicit_asset_id,42,deterministic_permutation,21514,0.6929586708840638,0.6442895156203003,0.048669155263763475,0.5220174626405025,0.5096885084788672,0.012328954161635375,0.64273162037761,0.08172778503780999,completed,,,
tcn,no_explicit_asset_id,42,circular_shift,21514,0.6929586708840638,0.679051889757962,0.013906781126101775,0.5220174626405025,0.519996415877662,0.0020210467628405393,0.6571212689633692,0.06267376837714252,completed,,,
tcn,no_explicit_asset_id,123,reverse,21514,0.7165893975902152,0.7036441148073347,0.01294528278288054,0.4528183006424397,0.45617912646973907,-0.003360825827299352,0.5573408748792367,0.04460490686762968,completed,,,
tcn,no_explicit_asset_id,123,deterministic_permutation,21514,0.7165893975902152,0.7071161655453737,0.009473232044841517,0.4528183006424397,0.45114499908263533,0.0016733015598043854,0.5336286159152389,0.04768348450057417,completed,,,
tcn,no_explicit_asset_id,123,circular_shift,21514,0.7165893975902152,0.7140204361190807,0.002568961471134501,0.4528183006424397,0.4718781512186727,-0.019059850576232995,0.4223173866915124,0.05030960072351057,completed,,,
transformer_encoder,asset_conditioned,7,reverse,21514,0.7070763585942369,0.7140768332917301,-0.007000474697493209,0.4746572683014247,0.49742853444953145,-0.02277126614810676,0.7542429364431291,0.09948106818961948,completed,,,
transformer_encoder,asset_conditioned,7,deterministic_permutation,21514,0.7070763585942369,0.7158681780278627,-0.008791819433625836,0.4746572683014247,0.49243067496703885,-0.017773406665614166,0.7871182117877452,0.08752872954485326,completed,,,
transformer_encoder,asset_conditioned,7,circular_shift,21514,0.7070763585942369,0.7128724534668636,-0.005796094872626667,0.4746572683014247,0.498852227489365,-0.02419495918794029,0.7639281014333693,0.09384593007576597,completed,,,
transformer_encoder,asset_conditioned,42,reverse,21514,0.7560033169585132,0.7587102375382807,-0.0027069205797675133,0.5244623460925244,0.5383806878385894,-0.013918341746064988,0.9785930437025536,0.021723489884527786,completed,,,
transformer_encoder,asset_conditioned,42,deterministic_permutation,21514,0.7560033169585132,0.7536270112310371,0.002376305727476047,0.5244623460925244,0.5228786475911711,0.0015836985013533145,0.9817452851452665,0.022789738280726796,completed,,,
transformer_encoder,asset_conditioned,42,circular_shift,21514,0.7560033169585132,0.7534512171562116,0.002552099802301644,0.5244623460925244,0.5331723322822752,-0.008709986189750829,0.9759744346748712,0.02585107291187569,completed,,,
transformer_encoder,asset_conditioned,123,reverse,21514,0.7790503680562197,0.776088247076716,0.0029621209795037684,0.477432829707254,0.46630925002240076,0.011123579684853224,0.971614465359918,0.050017829222249476,completed,,,
transformer_encoder,asset_conditioned,123,deterministic_permutation,21514,0.7790503680562197,0.7753866675263563,0.003663700529863423,0.477432829707254,0.4649730266348647,0.012459803072389308,0.967911662653877,0.05273598970185799,completed,,,
transformer_encoder,asset_conditioned,123,circular_shift,21514,0.7790503680562197,0.7740314667801252,0.005018901276094501,0.477432829707254,0.4670829653207718,0.010349864386482166,0.9807582671243577,0.040888696489258525,completed,,,
transformer_encoder,no_explicit_asset_id,7,reverse,21514,0.718214792208753,0.7138011545868058,0.004413637621947131,0.4940079732499314,0.48111793326990004,0.012890039980031354,0.890041934998162,0.12019538958654877,completed,,,
transformer_encoder,no_explicit_asset_id,7,deterministic_permutation,21514,0.718214792208753,0.7105384136838958,0.0076763785248571414,0.4940079732499314,0.4776155915010788,0.016392381748852602,0.902176648283648,0.11106065163747617,completed,,,
transformer_encoder,no_explicit_asset_id,7,circular_shift,21514,0.718214792208753,0.7081733969714431,0.010041395237309847,0.4940079732499314,0.47952356773777877,0.014484405512152632,0.8961770051802704,0.11591419160682802,completed,,,
transformer_encoder,no_explicit_asset_id,42,reverse,21514,0.6976810878165134,0.714124967288602,-0.016443879472088585,0.4754117829444134,0.5034141609811392,-0.02800237803672584,0.7321011958537527,0.2299585262935223,completed,,,
transformer_encoder,no_explicit_asset_id,42,deterministic_permutation,21514,0.6976810878165134,0.7064400062381788,-0.00875891842166543,0.4754117829444134,0.49444816605295683,-0.019036383108543442,0.7168580669011227,0.23308753170227572,completed,,,
transformer_encoder,no_explicit_asset_id,42,circular_shift,21514,0.6976810878165134,0.7025906437250249,-0.004909555908511498,0.4754117829444134,0.5046522476856099,-0.029240464741196515,0.6862228561013427,0.2415376569713005,completed,,,
transformer_encoder,no_explicit_asset_id,123,reverse,21514,0.7285170483208007,0.7307038997862481,-0.0021868514654473925,0.5095953497434935,0.5100604322849775,-0.00046508254148402983,0.9558838164438588,0.021764911068631966,completed,,,
transformer_encoder,no_explicit_asset_id,123,deterministic_permutation,21514,0.7285170483208007,0.7307608238860485,-0.0022437755652477964,0.5095953497434935,0.5129142185831054,-0.003318868839611855,0.9589847065383145,0.02157605230747047,completed,,,
transformer_encoder,no_explicit_asset_id,123,circular_shift,21514,0.7285170483208007,0.7297755499510733,-0.0012585016302726348,0.5095953497434935,0.5151905629489931,-0.005595213205499605,0.9514978160457964,0.023185868914065693,completed,,,
flattened_logistic,asset_conditioned,7,reverse,21514,0.5759629677514355,0.5761846444071241,-0.0002216766556886185,0.5121355253370427,0.5162515769427152,-0.004116051605672522,0.38233765632835376,0.3070045890434062,completed,,,
flattened_logistic,asset_conditioned,7,deterministic_permutation,21514,0.5759629677514355,0.5986149352582972,-0.022651967506861714,0.5121355253370427,0.5152005188443766,-0.003064993507333913,0.10320964703705761,0.35035234881853033,completed,,,
flattened_logistic,asset_conditioned,7,circular_shift,21514,0.5759629677514355,0.5781712316202021,-0.0022082638687666023,0.5121355253370427,0.5093578305250597,0.002777694811982978,0.3061394297264075,0.3282771732213615,completed,,,
flattened_logistic,asset_conditioned,42,reverse,21514,0.5760030940523608,0.5762983968017885,-0.00029530274942768386,0.5121781934601145,0.5163411800011662,-0.004162986541051739,0.382613233367662,0.3068770254028104,completed,,,
flattened_logistic,asset_conditioned,42,deterministic_permutation,21514,0.5760030940523608,0.5986461437163785,-0.022643049664017645,0.5121781934601145,0.5155119961428016,-0.003333802682687126,0.10129814230090095,0.3512412852718625,completed,,,
flattened_logistic,asset_conditioned,42,circular_shift,21514,0.5760030940523608,0.5779606124509404,-0.001957518398579605,0.5121781934601145,0.5094104545435151,0.002767738916599427,0.30743600367322554,0.327778108405393,completed,,,
flattened_logistic,asset_conditioned,123,reverse,21514,0.5766779120904441,0.5769408726900411,-0.00026296059959707296,0.5121255694416592,0.516113616678116,-0.003988047236456738,0.38089042975990184,0.30654081246893333,completed,,,
flattened_logistic,asset_conditioned,123,deterministic_permutation,21514,0.5766779120904441,0.5996294296989204,-0.022951517608476357,0.5121255694416592,0.5155006179766491,-0.003375048534989933,0.10161422227812587,0.34952481736246027,completed,,,
flattened_logistic,asset_conditioned,123,circular_shift,21514,0.5766779120904441,0.5786840275430889,-0.002006115452644841,0.5121255694416592,0.5094260995219748,0.002699469919684394,0.30490331180024055,0.328041036007,completed,,,
flattened_logistic,no_explicit_asset_id,7,reverse,21514,0.41181805467341825,0.3986955806603876,0.013122474013030627,0.532108473747015,0.5454301729054574,-0.01332169915844239,0.7086962456804353,0.02220641503831483,completed,,,
flattened_logistic,no_explicit_asset_id,7,deterministic_permutation,21514,0.41181805467341825,0.3925583323924491,0.01925972228096917,0.532108473747015,0.548685750695846,-0.016577276948831043,0.4335323265456977,0.02364888075439195,completed,,,
flattened_logistic,no_explicit_asset_id,7,circular_shift,21514,0.41181805467341825,0.41255250330075943,-0.0007344486273411777,0.532108473747015,0.5387398112077781,-0.006631337460763165,0.6012568653426182,0.02150235579923894,completed,,,
flattened_logistic,no_explicit_asset_id,42,reverse,21514,0.4116443523397074,0.3985846545113515,0.01305969782835592,0.5320380713439463,0.5454614628623768,-0.013423391518430527,0.7087907767688968,0.0221080855931274,completed,,,
flattened_logistic,no_explicit_asset_id,42,deterministic_permutation,21514,0.4116443523397074,0.3926661448810472,0.018978207458660246,0.5320380713439463,0.5485556129204766,-0.016517541576530292,0.4339443953835013,0.02363840738475952,completed,,,
flattened_logistic,no_explicit_asset_id,42,circular_shift,21514,0.4116443523397074,0.41241949411384854,-0.0007751417741411193,0.5320380713439463,0.5387846127370036,-0.006746541393057304,0.6016822405819259,0.021461886291627555,completed,,,
flattened_logistic,no_explicit_asset_id,123,reverse,21514,0.4117809142930155,0.39856069529346916,0.01322021899954634,0.5322115883777722,0.5454301729054574,-0.013218584527685207,0.7095043408264362,0.022301255043198225,completed,,,
flattened_logistic,no_explicit_asset_id,123,deterministic_permutation,21514,0.4117809142930155,0.3925586996447058,0.0192222146483097,0.5322115883777722,0.5486708168527707,-0.01645922847499859,0.4331938393787873,0.023707189106247282,completed,,,
flattened_logistic,no_explicit_asset_id,123,circular_shift,21514,0.4117809142930155,0.4129354835346203,-0.001154569241604786,0.5322115883777722,0.5386260295462529,-0.006414441168480778,0.600419512366769,0.021537231005301586,completed,,,
mlp,asset_conditioned,ensemble,reverse,21514,0.7964776612507657,0.7873460616259187,0.009131599624846998,0.5569669222487239,0.508779677457435,0.048187244791288886,0.826152846816603,0.12481723531515672,completed,-0.016101216368211102,0.10330046505834908,1.0
mlp,asset_conditioned,ensemble,deterministic_permutation,21514,0.7964776612507657,0.7905244063634724,0.005953254887293258,0.5569669222487239,0.5156912022597038,0.04127571998902013,0.8419485614225735,0.11510743750527733,completed,-0.01434286278769953,0.08975914376653865,1.0
mlp,asset_conditioned,ensemble,circular_shift,21514,0.7964776612507657,0.7783248532392121,0.01815280801155361,0.5569669222487239,0.5156641791150915,0.04130274313363236,0.794993117675118,0.13176604717513618,completed,-0.03555617983728904,0.11224292100444754,1.0
mlp,no_explicit_asset_id,ensemble,reverse,21514,0.5249794845703994,0.4926900194712356,0.03228946509916386,0.5446863252932367,0.5197169396715408,0.024969385621695928,0.5065016039825959,0.03278351539604458,completed,-0.03217566089297698,0.07777183942299659,1.0
mlp,no_explicit_asset_id,ensemble,deterministic_permutation,21514,0.5249794845703994,0.4911442068199926,0.033835277750406845,0.5446863252932367,0.5181851540532584,0.026501171239978305,0.42656185671326063,0.028869489542921758,completed,-0.01957995765203359,0.06967741479089812,1.0
mlp,no_explicit_asset_id,ensemble,circular_shift,21514,0.5249794845703994,0.5081461181125093,0.01683336645789013,0.5446863252932367,0.5263205428523071,0.018365782440929568,0.3654270363946607,0.037707436634829734,completed,-0.046178948028709706,0.0785664198633622,1.0
lstm,asset_conditioned,ensemble,reverse,21514,0.6928695962443059,0.6766307393364355,0.016238856907870414,0.5183437372440091,0.5067465413930573,0.011597195850951758,0.6314245932929738,0.03387935147123494,completed,-0.06045926670683773,0.08035940103049136,1.0
lstm,asset_conditioned,ensemble,deterministic_permutation,21514,0.6928695962443059,0.689998521889504,0.002871074354801939,0.5183437372440091,0.5166967476934324,0.0016469895505766274,0.7346037596931163,0.01956138888710985,completed,-0.04860235174823166,0.04896484058390674,1.0
lstm,asset_conditioned,ensemble,circular_shift,21514,0.6928695962443059,0.6928426111871775,2.6985057128392498e-05,0.5183437372440091,0.5060894522977495,0.012254284946259575,0.6883466271337616,0.02645895089140525,completed,-0.05294984942813294,0.07416449655752556,1.0
lstm,no_explicit_asset_id,ensemble,reverse,21514,0.7778896433474418,0.7248720058023301,0.053017637545111684,0.4806948077161034,0.4554637242728996,0.025231083443203794,0.5094437730067849,0.09340772884068603,completed,-0.06905817964742379,0.12661840276521077,1.0
lstm,no_explicit_asset_id,ensemble,deterministic_permutation,21514,0.7778896433474418,0.754931195848555,0.02295844749888687,0.4806948077161034,0.44651906340625314,0.034175744309850264,0.6340970474351546,0.061937708926045505,completed,-0.029048830112646234,0.09651822255634301,1.0
lstm,no_explicit_asset_id,ensemble,circular_shift,21514,0.7778896433474418,0.7360432126888912,0.04184643065855065,0.4806948077161034,0.4290180215929148,0.0516767861231886,0.503896247137649,0.07761799660779437,completed,-0.014816366527318325,0.11345015075368528,1.0
tcn,asset_conditioned,ensemble,reverse,21514,0.7758812365600644,0.7599963230065353,0.015884913553529056,0.5474533530744516,0.4935201343761423,0.05393321869830936,0.8491093833668527,0.0769474065978958,completed,0.0029847467819550835,0.11003180431602792,1.0
tcn,asset_conditioned,ensemble,deterministic_permutation,21514,0.7758812365600644,0.7691672186228573,0.006714017937207051,0.5474533530744516,0.5199317025576695,0.027521650516782126,0.8533894142172019,0.08050230985558611,completed,-0.01911771562729518,0.07818410392216217,1.0
tcn,asset_conditioned,ensemble,circular_shift,21514,0.7758812365600644,0.775931126980773,-4.989042070868699e-05,0.5474533530744516,0.5354422764297021,0.012011076644749541,0.8651412292733092,0.07356864038941212,completed,-0.03253111147748565,0.05573718667906339,1.0
tcn,no_explicit_asset_id,ensemble,reverse,21514,0.7326212759164129,0.6912953534781415,0.04132592243827138,0.4710105660495434,0.4676184502653246,0.0033921157842187744,0.6563383126439584,0.06257021589300173,completed,-0.04446423726517627,0.04974375165297784,1.0
tcn,no_explicit_asset_id,ensemble,deterministic_permutation,21514,0.7326212759164129,0.6930405601535804,0.03958071576283251,0.4710105660495434,0.46808566621296227,0.0029248998365811185,0.6851128741973256,0.06324292537243639,completed,-0.03835477991124431,0.043305294066256154,1.0
tcn,no_explicit_asset_id,ensemble,circular_shift,21514,0.7326212759164129,0.7132417575460319,0.019379518370380988,0.4710105660495434,0.4810020182022213,-0.009991452152677938,0.7056734313996144,0.056501191099620644,completed,-0.046058106602619046,0.03262163077619168,1.0
transformer_encoder,asset_conditioned,ensemble,reverse,21514,0.7898135576855014,0.7907608289956453,-0.0009472713101438268,0.49163847014866996,0.5027186705750667,-0.011080200426396736,0.932436325690973,0.04806815918612487,completed,-0.04930376315709887,0.024739189159644334,1.0
transformer_encoder,asset_conditioned,ensemble,deterministic_permutation,21514,0.7898135576855014,0.7882403847411286,0.0015731729443728693,0.49163847014866996,0.48974044980735343,0.0018980203413165309,0.9436924908417937,0.04519222211796159,completed,-0.030946963614167797,0.03503202305708103,1.0
transformer_encoder,asset_conditioned,ensemble,circular_shift,21514,0.7898135576855014,0.7894041672241316,0.0004093904613697852,0.49163847014866996,0.5009906115906534,-0.00935214144198343,0.9415304910718642,0.04401489371525373,completed,-0.03991423770537099,0.02203665739455282,1.0
transformer_encoder,no_explicit_asset_id,ensemble,reverse,21514,0.7154766551871594,0.7254807024667042,-0.010004047279544737,0.47257008594782257,0.48052697976535375,-0.007956893817531174,0.8194666158600779,0.10942385211164493,completed,-0.040008717731064736,0.022759872676753924,1.0
transformer_encoder,no_explicit_asset_id,ensemble,deterministic_permutation,21514,0.7154766551871594,0.7188375163125869,-0.003360861125427439,0.47257008594782257,0.47595793491973415,-0.003387848971911578,0.8258977180997359,0.10734097196332366,completed,-0.029718869394891316,0.018949064858987917,1.0
transformer_encoder,no_explicit_asset_id,ensemble,circular_shift,21514,0.7154766551871594,0.7154468518681476,2.980331901181188e-05,0.47257008594782257,0.4756528578397698,-0.0030827718919472225,0.815313557039014,0.11197088944989843,completed,-0.0343325291613518,0.02680317503857325,1.0
flattened_logistic,asset_conditioned,ensemble,reverse,21514,0.5762199724774772,0.5764692968411053,-0.0002493243636280118,0.5121710821062693,0.5161961083827217,-0.004025026276452404,0.38194710852941743,0.30680100525762705,completed,-0.04132487776060665,0.028901293774462763,1.0
flattened_logistic,asset_conditioned,ensemble,deterministic_permutation,21514,0.5762199724774772,0.59897008415809,-0.022750111680612806,0.5121710821062693,0.5154152817305053,-0.003244199624236055,0.10204900809792584,0.35035296622791573,completed,-0.05146422096622656,0.0548147483145868,1.0
flattened_logistic,asset_conditioned,ensemble,circular_shift,21514,0.5762199724774772,0.5782709485916618,-0.0020509761141845884,0.5121710821062693,0.5093805868573648,0.002790495248904512,0.3061493887356529,0.32802485642486484,completed,-0.03844171866744728,0.047489556597839995,1.0
flattened_logistic,no_explicit_asset_id,ensemble,reverse,21514,0.39869095008845434,0.3899639267269155,0.008727023361538855,0.5321141628300913,0.5453903493239236,-0.013276186493832332,0.7088315426910464,0.022205070278858218,completed,-0.04971473221877956,0.020674495233437295,1.0
