model_variant,score,stride,offset,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
corrected_asset_conditioned,asset_prior_residual,60,19,352,72,0.20454545454545456,0.2777777777777778,0.48412698412698413,0.4251984126984127,0.16774584570372938,,,0.5113636363636364
corrected_asset_conditioned,asset_prior_residual,60,20,352,76,0.2159090909090909,0.2755905511811024,0.47120518688024404,0.4082284515636918,0.17302219313085343,,,0.5056818181818182
corrected_asset_conditioned,asset_prior_residual,60,21,352,73,0.20738636363636365,0.27450980392156865,0.4762851671822065,0.40808661069376934,0.16602835080853445,,,0.5170454545454546
corrected_asset_conditioned,asset_prior_residual,60,22,352,70,0.19886363636363635,0.23715415019762845,0.4430091185410334,0.39295845997973655,0.15487478015915568,,,0.5198863636363636
corrected_asset_conditioned,asset_prior_residual,60,23,352,72,0.20454545454545456,0.24603174603174602,0.4492063492063492,0.40696924603174606,0.16511698818002213,,,0.5113636363636364
corrected_asset_conditioned,asset_prior_residual,60,24,352,79,0.22443181818181818,0.25,0.4369638800018547,0.38623823433950016,0.17397816089719387,,,0.5028409090909091
corrected_asset_conditioned,asset_prior_residual,60,25,352,62,0.17613636363636365,0.1864406779661017,0.4153503893214683,0.3610678531701891,0.13118678103355752,,,0.4943181818181818
corrected_asset_conditioned,asset_prior_residual,60,26,352,64,0.18181818181818182,0.1862348178137652,0.4019097222222222,0.37239583333333337,0.1411605674689742,,,0.5198863636363636
corrected_asset_conditioned,asset_prior_residual,60,27,352,68,0.19318181818181818,0.2440944881889764,0.45505385252692626,0.40772576636288316,0.15543515222807402,,,0.5284090909090909
corrected_asset_conditioned,asset_prior_residual,60,28,352,60,0.17045454545454544,0.26720647773279355,0.5113013698630138,0.4671518264840183,0.15264643245951093,,,0.53125
corrected_asset_conditioned,asset_prior_residual,60,29,352,64,0.18181818181818182,0.2549800796812749,0.4809027777777778,0.45149739583333337,0.15770713558989752,,,0.53125
corrected_asset_conditioned,asset_prior_residual,60,30,352,46,0.13068181818181818,0.24267782426778242,0.5472435350951975,0.5066780335322535,0.13212479243089242,,,0.5482954545454546
corrected_asset_conditioned,asset_prior_residual,60,31,352,63,0.17897727272727273,0.29133858267716534,0.5272148074916241,0.5107101664195091,0.17977622296644863,,,0.5426136363636364
corrected_asset_conditioned,asset_prior_residual,60,32,352,73,0.20738636363636365,0.25098039215686274,0.45036087789070556,0.4239946973044632,0.17696495579311927,,,0.5170454545454546
corrected_asset_conditioned,asset_prior_residual,60,33,352,66,0.1875,0.23770491803278687,0.4592074592074592,0.4170904852723034,0.15901263241738928,,,0.5056818181818182
corrected_asset_conditioned,asset_prior_residual,60,34,352,70,0.19886363636363635,0.25098039215686274,0.4572948328267477,0.4431104356636271,0.17475854121513737,,,0.5255681818181818
corrected_asset_conditioned,asset_prior_residual,60,35,352,58,0.16477272727272727,0.2459016393442623,0.4933145672061928,0.4512373915083274,0.1461973689436507,,,0.5284090909090909
corrected_asset_conditioned,asset_prior_residual,60,36,352,55,0.15625,0.2396694214876033,0.4976430976430976,0.4223140495867768,0.13004793315004404,,,0.53125
corrected_asset_conditioned,asset_prior_residual,60,37,340,46,0.13529411764705881,0.20353982300884957,0.48299319727891155,0.43507837917775805,0.11347102396700781,,,0.5294117647058824
corrected_asset_conditioned,asset_prior_residual,60,38,340,25,0.07352941176470588,0.08955223880597014,0.4149206349206349,0.36939682539682545,0.05783538863091393,,,0.5176470588235295
corrected_asset_conditioned,asset_prior_residual,60,39,340,29,0.08529411764705883,0.0947867298578199,0.39588646191373766,0.3362346158110655,0.061568801603890826,,,0.5352941176470588
corrected_asset_conditioned,asset_prior_residual,60,40,340,37,0.10882352941176471,0.12334801762114538,0.39876014628489875,0.3474712336098475,0.07963961855662369,,,0.5588235294117647
corrected_asset_conditioned,asset_prior_residual,60,41,340,30,0.08823529411764706,0.13513513513513514,0.46451612903225803,0.37333333333333335,0.06719197554466472,,,0.5647058823529412
corrected_asset_conditioned,asset_prior_residual,60,42,340,31,0.09117647058823529,0.14479638009049775,0.47651111807077984,0.4034345965132059,0.07312230890983192,,,0.5588235294117647
corrected_asset_conditioned,asset_prior_residual,60,43,340,39,0.11470588235294117,0.1504424778761062,0.4355566913706449,0.39385807990459154,0.09085294811226431,,,0.55
corrected_asset_conditioned,asset_prior_residual,60,44,340,37,0.10882352941176471,0.12334801762114538,0.39876014628489875,0.3324859512978324,0.07813187141784428,,,0.5588235294117647
corrected_asset_conditioned,asset_prior_residual,60,45,340,28,0.08235294117647059,0.10476190476190476,0.4223901098901099,0.3575434981684981,0.06117372149504357,,,0.5352941176470588
corrected_asset_conditioned,asset_prior_residual,60,46,340,30,0.08823529411764706,0.11926605504587157,0.43440860215053767,0.3429032258064517,0.06434594891903939,,,0.5529411764705883
corrected_asset_conditioned,asset_prior_residual,60,47,340,33,0.09705882352941177,0.1511111111111111,0.4725594709308064,0.36975619386042835,0.07593438371464828,,,0.5647058823529412
corrected_asset_conditioned,asset_prior_residual,60,48,340,34,0.1,0.14285714285714285,0.45098039215686275,0.3571222606689735,0.07491429882776729,,,0.5588235294117647
corrected_asset_conditioned,asset_prior_residual,60,49,340,33,0.09705882352941177,0.12669683257918551,0.428733589971375,0.32489389004046987,0.06966159364391519,,,0.5529411764705883
corrected_asset_conditioned,asset_prior_residual,60,50,340,24,0.07058823529411765,0.0891089108910891,0.4200949367088608,0.3171149789029536,0.050060954354781695,,,0.5235294117647059
corrected_asset_conditioned,asset_prior_residual,60,51,340,24,0.07058823529411765,0.10204081632653061,0.4520042194092827,0.3757911392405063,0.054545950934490245,,,0.5058823529411764
corrected_asset_conditioned,asset_prior_residual,60,52,340,23,0.06764705882352941,0.11,0.4773007817857633,0.4048827321355095,0.05508374839902814,,,0.5205882352941177
corrected_asset_conditioned,asset_prior_residual,60,53,340,24,0.07058823529411765,0.0966183574879227,0.4345991561181435,0.3794831223628692,0.05506957557071104,,,0.538235294117647
corrected_asset_conditioned,asset_prior_residual,60,54,340,14,0.041176470588235294,0.06796116504854369,0.4662576687116564,0.4235319894829097,0.03750700416854518,,,0.5647058823529412
corrected_asset_conditioned,asset_prior_residual,60,55,340,42,0.12352941176470589,0.17094017094017094,0.4495046340683925,0.41834451901565994,0.10142994261062716,,,0.5647058823529412
corrected_asset_conditioned,asset_prior_residual,60,56,340,36,0.10588235294117647,0.14977973568281938,0.44992690058479534,0.3906706871345029,0.08282428445268114,,,0.5617647058823529
corrected_asset_conditioned,asset_prior_residual,60,57,340,37,0.10882352941176471,0.1651376146788991,0.47426634555347424,0.4185621264829185,0.08906683104460794,,,0.5323529411764706
corrected_asset_conditioned,asset_prior_residual,60,58,340,49,0.14411764705882352,0.22026431718061673,0.4922154428781822,0.45185496879164044,0.12773143190866876,,,0.5235294117647059
corrected_asset_conditioned,asset_prior_residual,60,59,340,52,0.15294117647058825,0.2894736842105263,0.5690438034188035,0.5423344017094017,0.16639689809743305,,,0.5176470588235295
corrected_asset_conditioned,family_prior_residual,10,0,2155,342,0.15870069605568446,0.3147590361445783,0.5912698412698413,0.5173446808785155,0.1646604703148556,,,0.45754060324825985
corrected_asset_conditioned,family_prior_residual,10,1,2155,354,0.1642691415313225,0.3205317577548006,0.5891179413822202,0.5077679694582734,0.16595263216518594,,,0.46403712296983757
corrected_asset_conditioned,family_prior_residual,10,2,2155,337,0.15638051044083526,0.31328878990348924,0.5933094051244887,0.5064447839442697,0.15705813528902285,,,0.46867749419953597
corrected_asset_conditioned,family_prior_residual,10,3,2155,352,0.16334106728538283,0.30940044411547,0.5777956877426511,0.48676448343669637,0.1572902369003989,,,0.46357308584686774
corrected_asset_conditioned,family_prior_residual,10,4,2155,343,0.1591647331786543,0.2861356932153392,0.5568054563357983,0.46734677787860657,0.14748138677940772,,,0.47006960556844546
corrected_asset_conditioned,family_prior_residual,10,5,2155,356,0.16519721577726218,0.3018315018315018,0.5661462985054119,0.4774390891319147,0.1569695768146909,,,0.46821345707656614
corrected_asset_conditioned,family_prior_residual,10,6,2155,358,0.16612529002320187,0.30702389572773353,0.5704355179178209,0.4678032599335329,0.15701014850943723,,,0.47470997679814386
corrected_asset_conditioned,family_prior_residual,10,7,2143,368,0.17172188520765283,0.32028985507246377,0.577454837721984,0.4930105633802817,0.1676237954698089,,,0.4722351843210453
corrected_asset_conditioned,family_prior_residual,10,8,2143,325,0.15165655622958468,0.3046757164404223,0.5910222560717611,0.5076127612761276,0.15454437125239828,,,0.4671021931871209
corrected_asset_conditioned,family_prior_residual,10,9,2143,336,0.1567895473635091,0.30074074074074075,0.5776782420217672,0.4961245289482699,0.1537272954950285,,,0.47316845543630426
corrected_asset_conditioned,family_prior_residual,60,0,419,74,0.1766109785202864,0.3543307086614173,0.6084018801410106,0.604445750097924,0.22207073311249756,,,0.4295942720763723
corrected_asset_conditioned,family_prior_residual,60,1,419,74,0.1766109785202864,0.3409090909090909,0.5939091265178222,0.526752839796318,0.1842110546123859,,,0.45346062052505964
corrected_asset_conditioned,family_prior_residual,60,2,419,72,0.1718377088305489,0.36153846153846153,0.6232188600704451,0.521053474223503,0.18555722726737617,,,0.4486873508353222
corrected_asset_conditioned,family_prior_residual,60,3,419,85,0.20286396181384247,0.35555555555555557,0.5772631208171892,0.4905424445227192,0.1961959797597885,,,0.441527446300716
corrected_asset_conditioned,family_prior_residual,60,4,419,76,0.18138424821002386,0.2932330827067669,0.5364623292926194,0.44951664876476904,0.16823353354839046,,,0.45346062052505964
corrected_asset_conditioned,family_prior_residual,60,5,419,85,0.20286396181384247,0.33454545454545453,0.5550193730186685,0.4910179640718563,0.1950093892372114,,,0.45346062052505964
corrected_asset_conditioned,family_prior_residual,60,6,419,89,0.21241050119331742,0.38686131386861317,0.597752808988764,0.5106230847803881,0.2177005796061876,,,0.441527446300716
corrected_asset_conditioned,family_prior_residual,60,7,419,110,0.26252983293556087,0.4377104377104377,0.5980435422182995,0.5346572521329803,0.27446500799681006,,,0.44630071599045346
corrected_asset_conditioned,family_prior_residual,60,8,419,84,0.20047732696897375,0.4132841328413284,0.6378109452736318,0.5458422174840085,0.22538666897208764,,,0.44630071599045346
corrected_asset_conditioned,family_prior_residual,60,9,419,86,0.2052505966587112,0.3927272727272727,0.6112507856693903,0.5162371673999582,0.21277360412413632,,,0.4510739856801909
corrected_asset_conditioned,family_prior_residual,60,10,352,85,0.24147727272727273,0.46153846153846156,0.639744437100683,0.5668649482264816,0.28859391393710765,,,0.42329545454545453
corrected_asset_conditioned,family_prior_residual,60,11,352,90,0.2556818181818182,0.4773662551440329,0.6409245122985581,0.5923452078032231,0.31254468545205155,,,0.4346590909090909
corrected_asset_conditioned,family_prior_residual,60,12,352,68,0.19318181818181818,0.4336283185840708,0.6683927091963546,0.617854183927092,0.2511283234786816,,,0.44886363636363635
corrected_asset_conditioned,family_prior_residual,60,13,352,66,0.1875,0.3963963963963964,0.6375291375291375,0.5717577876668786,0.23185512210633927,,,0.4431818181818182
corrected_asset_conditioned,family_prior_residual,60,14,352,67,0.1903409090909091,0.4336283185840708,0.6726891856506939,0.5861482063367374,0.248883092529306,,,0.45170454545454547
corrected_asset_conditioned,family_prior_residual,60,15,352,81,0.23011363636363635,0.45643153526970953,0.6457792355701335,0.5550544394332833,0.2655351588655367,,,0.45454545454545453
corrected_asset_conditioned,family_prior_residual,60,16,352,84,0.23863636363636365,0.42448979591836733,0.6061656005685856,0.5104388770433547,0.25072137138928646,,,0.45738636363636365
corrected_asset_conditioned,family_prior_residual,60,17,352,74,0.21022727272727273,0.358974358974359,0.5715535679564456,0.5050068053665175,0.21428538588655238,,,0.45454545454545453
corrected_asset_conditioned,family_prior_residual,60,18,352,73,0.20738636363636365,0.351931330472103,0.5675602690626995,0.5017921146953405,0.21159021405458267,,,0.45454545454545453
corrected_asset_conditioned,family_prior_residual,60,19,352,72,0.20454545454545456,0.35537190082644626,0.5718253968253968,0.5025049603174603,0.20547826430097713,,,0.48295454545454547
corrected_asset_conditioned,family_prior_residual,60,20,352,76,0.2159090909090909,0.3305785123966942,0.5348970251716247,0.4698941647597254,0.20549889923832135,,,0.4715909090909091
corrected_asset_conditioned,family_prior_residual,60,21,352,73,0.20738636363636365,0.31092436974789917,0.5240339765306623,0.46283203220896546,0.1909123429820988,,,0.46875
corrected_asset_conditioned,family_prior_residual,60,22,352,70,0.19886363636363635,0.3,0.5195542046605877,0.4518490374873353,0.1798325744624035,,,0.48295454545454547
corrected_asset_conditioned,family_prior_residual,60,23,352,72,0.20454545454545456,0.3025210084033613,0.5178571428571428,0.450124007936508,0.18962716005982877,,,0.4715909090909091
corrected_asset_conditioned,family_prior_residual,60,24,352,79,0.22443181818181818,0.2916666666666667,0.4907497565725414,0.4214308897853202,0.1954125509760354,,,0.45738636363636365
corrected_asset_conditioned,family_prior_residual,60,25,352,62,0.17613636363636365,0.27522935779816515,0.5246941045606229,0.4051446051167964,0.15376245102457808,,,0.4431818181818182
corrected_asset_conditioned,family_prior_residual,60,26,352,64,0.18181818181818182,0.2982456140350877,0.5399305555555556,0.43060980902777785,0.16542216308412627,,,0.4659090909090909
