study,cell,seed,split,n_obs,n_assets,n_dates,mae,equal_asset_mae,rmse,spearman,tail_threshold_training_q90,tail_n,tail_mae,top_decile_actual_mean,overall_actual_mean,top_decile_risk_enrichment,prediction_min,prediction_max,equal_asset_mae_ci_lower,equal_asset_mae_ci_upper,spearman_ci_lower,spearman_ci_upper
continuous_downside,continuous_downside__mlp__no_id_temporal,42,validation,20494,79,379,0.5211230796149503,0.5367956979567607,0.5500214912618827,-0.13546950279241438,0.06444563865661622,2697,0.34658896509788634,0.01671558879679296,0.029374789595193133,0.5690453966529274,0.1491273045539856,1.0,,,,
continuous_downside,continuous_downside__mlp__no_id_temporal,42,test,21514,79,397,0.6317835753208098,0.6501840398124119,0.6589696467960621,-0.14963781756532227,0.06444563865661622,2806,0.4271871088469615,0.025069857320010828,0.02891647209539494,0.8669749628276161,0.08244295418262482,0.9745141863822937,,,,
continuous_downside,continuous_downside__mlp__no_id_temporal,7,validation,20494,79,379,0.4887520910121738,0.5042029369784594,0.5207218512209436,-0.1353391223475144,0.06444563865661622,2697,0.31386198935506077,0.019355272967368366,0.029374789595193133,0.6589076290961977,0.09283746778964996,0.9904251098632812,,,,
continuous_downside,continuous_downside__mlp__no_id_temporal,7,test,21514,79,397,0.620369763537662,0.636989817154113,0.6488961798722493,-0.15882068383497866,0.06444563865661622,2806,0.422840252594328,0.020359852162127462,0.02891647209539494,0.7040918440866736,0.041569676250219345,0.9937728643417358,,,,
continuous_downside,continuous_downside__recent_drawdown_60d,ensemble,validation,20494,79,379,0.05338703559212015,0.046074150200072904,0.090847839242152,0.24702839770931687,0.06444563865661622,2697,0.09675089551823392,0.07122030135797104,0.029374789509578,2.424538270640163,-0.0,0.5530977441180456,,,,
continuous_downside,continuous_downside__recent_drawdown_60d,ensemble,test,21514,79,397,0.054748872725937654,0.04576445661472694,0.10122214714674552,0.31397443722023755,0.06444563865661622,2806,0.11892296036756816,0.06807004276637613,0.02891647202024434,2.35402308824951,-0.0,0.6047404788596055,,,,
continuous_downside,continuous_downside__recent_volatility_20d,ensemble,validation,20494,79,379,0.03244820398698949,0.028249274306366798,0.05101897261249568,0.39448978354937897,0.06444563865661622,2697,0.051407147325572916,0.0863502086877891,0.029374789509578,2.939602636459185,0.0020765361339076314,0.4792162859468304,,,,
continuous_downside,continuous_downside__recent_volatility_20d,ensemble,test,21514,79,397,0.03175678585508935,0.02807291144488113,0.04953615073205224,0.46360860861658687,0.06444563865661622,2806,0.05518056145486809,0.07922145191148747,0.02891647202024434,2.739665193458758,0.0010804020196407665,0.3218587935830792,,,,
continuous_downside,continuous_downside__ridge_sequence_summary,ensemble,validation,20494,79,379,0.02406538996913321,0.021297466226063145,0.03795311760447178,0.384316617285201,0.06444563865661622,2697,0.06967495691906025,0.08249977074319315,0.029374789509578,2.808522958651095,0.009141529254477636,0.2361676130546001,,,,
continuous_downside,continuous_downside__ridge_sequence_summary,ensemble,test,21514,79,397,0.0234394010071155,0.020691299523752992,0.03971820800221694,0.4577715484203944,0.06444563865661622,2806,0.07375589838115608,0.07583189171263253,0.02891647202024434,2.622446184290492,0.008855215507422517,0.14324982606835485,,,,
