study,cell,seed,split,score_type,calibration_method,threshold,n_obs,class_balance,prediction_positive_rate,prediction_unique_values,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,brier_score,expected_calibration_error,n,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,comparable_pairs,equal_asset_roc_auc,per_asset_macro_pr_auc,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction
within_objective,within_objective__mlp__pooled_bce,ensemble,test,validation_calibrated,isotonic,0.16,21514.0,0.16133680394161942,0.7329180998419633,2.0,0.3824021567351492,0.574208396143449,0.30937158895992517,0.6234386729368443,0.2182825542966189,0.13304253199671606,0.033712519234882644,21514.0,0.4329442580397491,-0.037645785533778106,1.1462581589750338,5251.0,12792.0,495.0,2976.0,False,0.5291918225632108,0.4842419510141502,74,703101,0.613620238481662,0.15606565508915604,,,,
within_objective,within_objective__mlp__pooled_bce,123,validation,raw,none,0.5,20494.0,0.16746364789694546,0.0,1.0,0.8325363521030545,0.5,0.0,0.638303070059312,0.2623802505169516,0.14505821084803916,0.10075977911386762,20494.0,0.5010233581270228,0.2044083800691562,0.6556487514435207,17062.0,0.0,3432.0,0.0,True,0.564711199832752,0.5112745305171404,75,662644,0.6293842324329852,0.18866500023039162,,,,
within_objective,within_objective__mlp__pooled_bce,123,test,raw,none,0.5,21514.0,0.16133680394161942,0.02626196895045087,2.0,0.8143534442688481,0.48794996644671607,0.010406342913776016,0.649067587237141,0.22137541697667135,0.14400103100746525,0.08014533570629744,21514.0,0.4660820327616118,-0.8190142129937967,0.3760869618450595,17499.0,544.0,3450.0,21.0,True,0.5320715676307457,0.4797760207992877,74,703101,0.6334257107433486,0.1550637269888573,,,,
within_objective,within_objective__mlp__pooled_bce,42,validation,raw,none,0.5,20494.0,0.16746364789694546,0.0013662535376207671,2.0,0.8315604567190397,0.49987943326942275,0.0023121387283236996,0.5701307042408614,0.1925957592401098,0.14478509282338722,0.07128744827416154,20494.0,0.48537692617181416,-0.9592644635016352,0.28447654847849013,17038.0,24.0,3428.0,4.0,True,0.5113094950579739,0.4968655869516663,75,662644,0.564207821541335,0.17400213351276564,,,,
within_objective,within_objective__mlp__pooled_bce,42,test,raw,none,0.5,21514.0,0.16133680394161942,0.03723157014037371,2.0,0.8051501347959468,0.48467351745413456,0.018726591760299626,0.6066348143994117,0.19700096813752815,0.15039922407467718,0.0690953208607616,21514.0,0.479323348414089,-1.1784373255708744,0.24503648838088432,17282.0,761.0,3431.0,40.0,True,0.5185836768278514,0.49110725201642436,74,703101,0.6011052963511979,0.1606004320148956,,,,
within_objective,within_objective__mlp__pooled_bce,7,validation,raw,none,0.5,20494.0,0.16746364789694546,0.0019517907680296671,2.0,0.8310725090270323,0.49970276714650175,0.002880184331797235,0.6143834760460889,0.2247528350693521,0.1407411573339147,0.058798826712952015,20494.0,0.46812501389142147,-0.6440215832163482,0.43643188238968417,17027.0,35.0,3427.0,5.0,True,0.5501700020044169,0.520086200131594,75,662644,0.60602318223883,0.19088064316596762,,,,
within_objective,within_objective__mlp__pooled_bce,7,test,raw,none,0.5,21514.0,0.16133680394161942,0.047225062749837315,2.0,0.8064051315422516,0.49949876453945696,0.0717628705148206,0.5902198041482036,0.1952714679853522,0.15067219573351312,0.06832306292294166,21514.0,0.4828915977697665,-1.2446791471719014,0.23797180324543427,17188.0,855.0,3310.0,161.0,True,0.5366368384222546,0.48835800261982276,74,703101,0.5815476377861913,0.16172720352273728,,,,
within_objective,within_objective__mlp__within_asset_pairwise,ensemble,validation,raw,isotonic,0.14,20494.0,0.16746364789694546,0.9376402849614521,2.0,0.21723431248170197,0.5148776100818652,0.29168138466972804,0.5280513356061358,0.1833714220175468,0.19306587282728718,0.19963042854091134,20494.0,0.5713298813399426,-1.4923351124372182,0.19060530092420871,1149.0,15913.0,129.0,3303.0,False,0.5415933382140471,0.5564692353661996,75,662644,0.5326871433182895,0.17881227989349469,,,,
within_objective,within_objective__mlp__within_asset_pairwise,ensemble,validation,validation_calibrated,isotonic,0.14,20494.0,0.16746364789694546,0.892505123450766,2.0,0.2503659607690056,0.5204605498826574,0.29277724071260874,0.536254151184259,0.1824306808154333,0.1387389421172727,7.807163105226226e-10,20494.0,0.4491151473515624,-0.015533010924273172,0.9902872859707618,1951.0,15111.0,252.0,3180.0,False,0.5229792313454739,0.5404832760879145,75,662644,0.5369760721090779,0.16712032137133118,,,,
within_objective,within_objective__mlp__within_asset_pairwise,ensemble,test,raw,isotonic,0.14,21514.0,0.16133680394161942,0.9499395742307335,2.0,0.19856837408199313,0.5061421742384262,0.27881880542077964,0.5191697933805272,0.16346012909790186,0.2311445468546852,0.2576445047737818,21514.0,0.6957707949210642,-1.6570184899781368,-0.024293788265103665,939.0,17104.0,138.0,3333.0,False,0.5278834989069151,0.513863584321456,74,703101,0.529827112294234,0.1613533287050918,,,,
