model,identity_variant,seed,aggregation,calibration_method,threshold,status,n_obs,positives,prevalence,roc_auc,pr_auc,f1,balanced_accuracy,brier_score,log_loss,prediction_positive_rate,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction
tcn,asset_conditioned,7,pooled,isotonic,0.19,completed,21514,3471,0.16133680394161942,0.7140770887715608,0.33136737349987316,0.37086776859504134,0.6522782022708229,0.13157693914420382,0.43910475208148314,0.46857859998140744,False,0.5656288054465208,0.553517204498358,74.0,,,,
tcn,asset_conditioned,7,equal_asset,isotonic,0.19,completed,21514,3471,0.13288843541753018,0.717126879613434,0.30279999338224556,0.32585336489976535,0.6516320748088476,0.11726454080647288,0.4032565004408084,0.44256187226987215,False,,,,,,,
tcn,asset_conditioned,7,equal_date,isotonic,0.19,completed,21514,3471,0.2600330538107536,0.6765552241318619,0.4061829695117929,0.47207394614954773,0.6250514574476793,0.18088232057148243,0.5525816698009679,0.5523254578112212,False,,,,,,,
tcn,asset_conditioned,7,equal_family,isotonic,0.19,completed,21514,3471,0.1464612135695259,0.7582347914249732,0.34717459184850785,0.3901741510977971,0.6963034144901858,0.1191786401643492,0.40950535889493206,0.42173479710885253,False,,,,,,,
tcn,asset_conditioned,42,pooled,isotonic,0.22,completed,21514,3471,0.16133680394161942,0.6939492779605071,0.337673809256036,0.4034032565644712,0.6434502005061599,0.1220907787771412,0.400698583782851,0.15552663381983825,False,0.46436940540816013,0.503650257928804,74.0,,,,
tcn,asset_conditioned,42,equal_asset,isotonic,0.22,completed,21514,3471,0.13288843541753018,0.6838639325999275,0.30205086653787183,0.3693855769484294,0.6342989268068304,0.10458925043725924,0.35601943281346554,0.1236720976947358,False,,,,,,,
tcn,asset_conditioned,42,equal_date,isotonic,0.22,completed,21514,3471,0.2600330538107536,0.6963053609028844,0.4244410944880528,0.48471475645671236,0.650595402055499,0.17897388302145312,0.5436344096674675,0.28666741064311446,False,,,,,,,
tcn,asset_conditioned,42,equal_family,isotonic,0.22,completed,21514,3471,0.1464612135695259,0.7127607482578235,0.33925538156801877,0.4042670238467141,0.6478631414054971,0.11132815948521822,0.3714232418529659,0.1322761934399214,False,,,,,,,
tcn,asset_conditioned,123,pooled,isotonic,0.21,completed,21514,3471,0.16133680394161942,0.7179361994370087,0.3329648408871708,0.4030410542321338,0.6642755910114723,0.12263327364573304,0.39997676073165955,0.2972018220693502,False,0.53531270923087,0.4713504887633498,74.0,,,,
tcn,asset_conditioned,123,equal_asset,isotonic,0.21,completed,21514,3471,0.13288843541753018,0.7013407488902855,0.28689775541249957,0.3486333849761358,0.6467124691448423,0.10703706704879917,0.36170039695921924,0.2569844721487103,False,,,,,,,
