analysis,cell,split,group,n_obs,base_equal_asset_mae,changed_equal_asset_mae,equal_asset_mae_deterioration,base_spearman,changed_spearman,prediction_spearman,paired_difference_estimate,paired_difference_ci_lower,paired_difference_ci_upper,n_assets,n_dates,mae,equal_asset_mae,rmse,spearman,tail_threshold_training_q90,tail_n,tail_mae,top_decile_actual_mean,overall_actual_mean,top_decile_risk_enrichment,prediction_min,prediction_max
family,continuous_downside__last_observable_target,test,FX,1500.0,,,,,,,,,,6.0,250.0,0.007663525241272417,0.007663525241272417,0.009998047106708994,0.033468721346322734,0.06444563865661622,0.0,,0.007886314062634483,0.007931117141687233,0.9943509749947762,0.0,0.03886756697670535
family,continuous_downside__last_observable_target,test,Real assets,750.0,,,,,,,,,,3.0,250.0,0.013535244934132926,0.013535244934132926,0.01787852953267005,0.04081574007494208,0.06444563865661622,0.0,,0.017507202494889497,0.013670087778523642,1.280694226586763,0.0,0.0585544702724724
subperiod,continuous_downside__last_observable_target,test,2025-03-15_to_2025-09-14,5922.0,,,,,,,,,,79.0,125.0,0.024753918773390816,0.020070239291748677,0.04355556791274297,0.14984266940812324,0.06444563865661622,651.0,0.07648387240326619,0.056060431696290984,0.02233233548034562,2.510280742720751,0.0,0.2558002203162245
subperiod,continuous_downside__last_observable_target,test,2025-09-15_to_2026-06-13,15592.0,,,,,,,,,,79.0,272.0,0.03138772860070218,0.027761929027906765,0.05586259117826075,0.26596707988506363,0.06444563865661622,2155.0,0.08731786623296578,0.08033662506225087,0.0314171939667092,2.5570910357996475,0.0,0.3972349570756095
nonoverlap_offset,continuous_downside__last_observable_target,test,0,2155.0,,,,,,,,,,79.0,63.0,0.02903871861834765,0.025312721786399525,0.0535107670019615,0.2855774560199392,0.06444563865661622,275.0,0.08596194594051117,0.08234528145503309,0.028837040554086667,2.8555385668160547,0.0,0.3941067622547475
nonoverlap_offset,continuous_downside__last_observable_target,test,1,2155.0,,,,,,,,,,79.0,63.0,0.029574758233552958,0.025488226123219503,0.05236411477558404,0.2623233581431198,0.06444563865661622,273.0,0.08545981044234553,0.08070576936437714,0.029115267757642994,2.771939795854744,0.0,0.35360798012315353
nonoverlap_offset,continuous_downside__last_observable_target,test,2,2155.0,,,,,,,,,,79.0,63.0,0.030003202622471296,0.02556839630610833,0.05283687253712675,0.22054753907457533,0.06444563865661622,260.0,0.09567909865979472,0.06992876918916914,0.02788007841067042,2.5081984404464803,0.0,0.33474487262697505
nonoverlap_offset,continuous_downside__last_observable_target,test,3,2155.0,,,,,,,,,,79.0,63.0,0.028912256480244043,0.024677064796925326,0.05121770767351242,0.27597855189482967,0.06444563865661622,273.0,0.08305313269552082,0.07141125785225692,0.028463055858929564,2.508910434852463,0.0,0.3562958389989481
nonoverlap_offset,continuous_downside__last_observable_target,test,4,2155.0,,,,,,,,,,79.0,61.0,0.02917842899231821,0.025040655002871372,0.05019942529566447,0.15862102064535819,0.06444563865661622,267.0,0.08615288764660557,0.06365687758915117,0.027261950190566247,2.3350082126985567,0.0,0.3360151466601373
nonoverlap_offset,continuous_downside__last_observable_target,test,5,2155.0,,,,,,,,,,79.0,62.0,0.029304941663198986,0.02534638295505229,0.051015196649248785,0.16251588457043228,0.06444563865661622,289.0,0.07867613318941906,0.06659840956436475,0.02783167003700241,2.392900227540125,0.0,0.31085573414868106
nonoverlap_offset,continuous_downside__last_observable_target,test,6,2155.0,,,,,,,,,,79.0,61.0,0.028627749874740864,0.0250408527788674,0.049927045739556614,0.24083447969041866,0.06444563865661622,299.0,0.07808038098602356,0.07722572818088086,0.028796681339308572,2.6817579175508945,0.0,0.32490463591606844
nonoverlap_offset,continuous_downside__last_observable_target,test,7,2143.0,,,,,,,,,,79.0,61.0,0.02910759263525697,0.02579263524334261,0.0498921753801609,0.20493026338239428,0.06444563865661622,301.0,0.07527107612030011,0.07440852751369252,0.029855842702990475,2.492260166759235,0.0,0.32184253686299513
nonoverlap_offset,continuous_downside__last_observable_target,test,8,2143.0,,,,,,,,,,79.0,61.0,0.031112169522148226,0.026840147079082177,0.05892207291021588,0.3110840794295686,0.06444563865661622,290.0,0.08661151670269758,0.07636153399003508,0.030827475562469776,2.4770608879502194,0.0,0.38972086615160584
nonoverlap_offset,continuous_downside__last_observable_target,test,9,2143.0,,,,,,,,,,79.0,61.0,0.030769901675196484,0.026529019747610176,0.05697746038152718,0.3031777115269911,0.06444563865661622,279.0,0.09527124458976102,0.07990716194008413,0.030319341745809407,2.6355177038475284,0.0,0.3972349570756095
family,continuous_downside__mlp__asset_intercept_dynamic_residual,test,Bonds,2750.0,,,,,,,,,,11.0,250.0,0.05881603007233053,0.05881603007233052,0.07031815316095291,0.07898353313720506,0.06444563865661622,0.0,,0.00696213538673791,0.004279832230372862,1.626730911863656,0.0,0.2107036014397939
