split,group_type,group,n_assets,n_obs,positives,prevalence,contiguous_label_episodes,greedy_nonoverlap_positive_endpoints,mean_episode_windows,median_stressed_future_return,median_stressed_future_drawdown,median_stressed_volatility_ratio,volatility_only_positive_rate
train,asset_ticker,PPLT,1,3494,497,0.14224384659416142,122,97,4.073770491803279,-0.06340255348900958,-0.07208649702357117,1.2252952713211245,0.0744466800804829
train,asset_ticker,QQQ,1,3498,396,0.11320754716981132,88,71,4.5,-0.05636788696373907,-0.07058937456619357,1.7991369330810205,0.2702020202020202
train,asset_ticker,QUAL,1,2608,254,0.09739263803680982,56,45,4.535714285714286,-0.04818489588878644,-0.06040720143619188,2.166509388555335,0.43700787401574803
train,asset_ticker,SHY,1,3498,152,0.04345340194396798,32,29,4.75,1.1528306469443805e-05,-0.0009580509899923539,2.308607352544718,1.0
train,asset_ticker,SIZE,1,2671,234,0.08760763758891801,54,42,4.333333333333333,-0.050377670466408675,-0.05853750286006859,2.129572414626307,0.4230769230769231
train,asset_ticker,SLV,1,3498,649,0.18553459119496854,149,119,4.355704697986577,-0.06637447726316859,-0.07701150471065799,1.294504089544328,0.09861325115562404
train,asset_ticker,SOL-USD,1,1324,738,0.5574018126888217,123,104,6.0,-0.08322033699995857,-0.14321066096938373,0.9714484033254127,0.03387533875338753
train,asset_ticker,SPY,1,3498,304,0.08690680388793597,60,55,5.066666666666666,-0.05040628048692253,-0.06028097992475079,2.189441958000285,0.4276315789473684
train,asset_ticker,TIP,1,3498,75,0.02144082332761578,23,21,3.260869565217391,-0.010185438135051239,-0.01631202235776641,2.317896832341814,0.9066666666666666
train,asset_ticker,TLT,1,3498,169,0.04831332189822756,53,40,3.188679245283019,-0.052259441527009676,-0.055774460838295514,1.5390514291052562,0.33727810650887574
train,asset_ticker,UNG,1,3498,1347,0.3850771869639794,224,206,6.013392857142857,-0.08055554709316748,-0.09836060900152688,1.017761243559638,0.015590200445434299
train,asset_ticker,UNI-USD,1,1496,956,0.6390374331550802,118,123,8.101694915254237,-0.11660109026525284,-0.2697328616008022,0.9341552914548648,0.13389121338912133
train,asset_ticker,USMV,1,3044,185,0.06077529566360053,38,36,4.868421052631579,-0.03813832512811899,-0.05156329229932144,2.480146434998184,0.5135135135135135
train,asset_ticker,USO,1,3498,869,0.24842767295597484,156,139,5.57051282051282,-0.07427260611506759,-0.09170052035305987,1.265061272310998,0.03452243958573072
train,asset_ticker,UUP,1,3498,45,0.012864493996569469,14,12,3.2142857142857144,0.006441905728977737,-0.016431001081704366,2.1591441807300193,0.9555555555555556
train,asset_ticker,VEA,1,3498,321,0.09176672384219554,81,69,3.962962962962963,-0.05621180168017281,-0.06619423867156171,2.0083408754251573,0.2803738317757009
train,asset_ticker,VGK,1,3498,389,0.11120640365923384,96,73,4.052083333333333,-0.05712443128418687,-0.0717091848343081,1.769020970385353,0.17994858611825193
train,asset_ticker,VLUE,1,2671,232,0.0868588543616623,51,45,4.549019607843137,-0.05358475167975507,-0.06446896957659481,2.1142247818954267,0.3620689655172414
train,asset_ticker,VNQ,1,3498,366,0.10463121783876501,95,71,3.8526315789473684,-0.05565894836883628,-0.07165261659835409,1.6084493430831657,0.1721311475409836
train,asset_ticker,VT,1,3498,313,0.08947970268724986,72,62,4.347222222222222,-0.05244896394639931,-0.06150746518154859,2.1115392740969874,0.36421725239616615
train,asset_ticker,VTI,1,3498,313,0.08947970268724986,65,57,4.815384615384615,-0.05155377901582259,-0.061504499297559745,2.1959907904078837,0.3865814696485623
train,asset_ticker,VTV,1,3498,301,0.08604917095483133,56,59,5.375,-0.0460791314768777,-0.054594217891538954,2.285356287131396,0.4750830564784053
train,asset_ticker,VUG,1,3498,370,0.10577472841623785,88,69,4.204545454545454,-0.05500141276803133,-0.06882691764858923,1.7300746450744449,0.2702702702702703
train,asset_ticker,VWO,1,3498,362,0.10348770726129217,90,74,4.022222222222222,-0.05920727421396982,-0.07149646493858952,1.4658596178811178,0.11602209944751381
train,asset_ticker,XBI,1,3498,699,0.1998284734133791,156,121,4.480769230769231,-0.06863366672787696,-0.08621783751726242,1.1964813596896342,0.03862660944206009
train,asset_ticker,XLB,1,3498,353,0.10091480846197827,85,71,4.152941176470589,-0.05974476474374424,-0.0752907775147238,1.6339771646507317,0.17280453257790368
train,asset_ticker,XLC,1,1369,181,0.13221329437545654,43,32,4.209302325581396,-0.06187461352003054,-0.07396929339289815,1.7084772705490288,0.20994475138121546
train,asset_ticker,XLE,1,3498,526,0.15037164093767869,126,100,4.174603174603175,-0.06365832452048414,-0.08098500764039457,1.3245913089411279,0.07984790874524715
train,asset_ticker,XLF,1,3498,416,0.11892510005717553,100,82,4.16,-0.057032938808200706,-0.07244519080278117,1.7975835481127636,0.2668269230769231
train,asset_ticker,XLI,1,3498,333,0.09519725557461406,78,67,4.269230769230769,-0.05532167813275235,-0.06786686443033019,2.015216380268487,0.2882882882882883
train,asset_ticker,XLK,1,3498,389,0.11120640365923384,85,70,4.576470588235294,-0.0548146565284664,-0.0708238572799974,1.9222659296028504,0.2596401028277635
train,asset_ticker,XLM-USD,1,2207,1176,0.532850022655188,188,166,6.25531914893617,-0.08738368596455431,-0.12527923704972088,0.9598582441891086,0.06292517006802721
train,asset_ticker,XLP,1,3498,191,0.05460263007432819,44,40,4.340909090909091,-0.03702744776215472,-0.05215687625009746,2.274143588587228,0.518324607329843
