study,cell,seed,split,score_type,calibration_method,threshold,n_obs,class_balance,prediction_positive_rate,prediction_unique_values,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,brier_score,expected_calibration_error,n,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,comparable_pairs,equal_asset_roc_auc,per_asset_macro_pr_auc,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction
static_dynamic,static_dynamic__existing_mlp_no_id,ensemble,test,raw,isotonic,0.15,21514.0,0.16133680394161942,1.0,1.0,0.16133680394161942,0.5,0.27784670802481487,0.5207472535958108,0.16819574565266443,0.809793116097772,0.8189222884259041,21514.0,9.885762829973777,-1.909582082797851,0.02194428424838422,0.0,18043.0,0.0,3471.0,True,0.6358591101488054,0.5499067701510878,74,703101,0.5371313126968952,0.17007026096933525,,,,
static_dynamic,static_dynamic__existing_mlp_no_id,ensemble,test,validation_calibrated,isotonic,0.15,21514.0,0.16133680394161942,0.9685321186204332,2.0,0.18741284744817327,0.5087985257791844,0.28081290110251766,0.50670365503657,0.16310582859103415,0.13575251482073175,0.02536552106002841,21514.0,0.4439979794436504,-1.236451029365514,0.27549977179122676,619.0,17424.0,58.0,3413.0,True,0.5340879481843184,0.5166974588288169,74,703101,0.5061451857150596,0.14628342392526825,,,,
static_dynamic,static_dynamic__existing_transformer_asset_conditioned,ensemble,validation,raw,isotonic,0.23,20494.0,0.16746364789694546,0.3437103542500244,2.0,0.7405094173904557,0.7448821130614003,0.4923634975181367,0.8013500792666484,0.46573901881516333,0.1342058599225004,0.11147647990675918,20494.0,0.48250247570247806,-1.181811884070541,0.45044382589702825,12597.0,4465.0,853.0,2579.0,False,0.5724590673418448,0.5774782537833286,75,662644,0.7794977795354153,0.20295890246165788,,,,
static_dynamic,static_dynamic__existing_transformer_asset_conditioned,ensemble,validation,validation_calibrated,isotonic,0.23,20494.0,0.16746364789694546,0.22099150971015907,2.0,0.8281936176441885,0.7557615869068219,0.5577188795377465,0.8041270333425417,0.4590637343137049,0.10671330346213814,1.854201270970867e-09,20494.0,0.3506044119875633,-0.001076158801354976,0.9991690735221342,14753.0,2309.0,1212.0,2220.0,False,0.5845865653628568,0.5898823501005065,75,662644,0.7827275958989816,0.19266817416336246,,,,
static_dynamic,static_dynamic__existing_transformer_asset_conditioned,ensemble,test,raw,isotonic,0.23,21514.0,0.16133680394161942,0.4589104768987636,2.0,0.6414427814446407,0.7099144201646526,0.4219124700239808,0.7898135576855017,0.42105625530862906,0.14458327615402652,0.13768305597599456,21514.0,0.48049959544224247,-1.2885328920274393,0.5406410459170036,10985.0,7058.0,656.0,2815.0,False,0.5387429250648953,0.49163847014866996,74,703101,0.7715919009056541,0.1796448913430516,,,,
static_dynamic,static_dynamic__existing_transformer_asset_conditioned,ensemble,test,validation_calibrated,isotonic,0.23,21514.0,0.16133680394161942,0.2660128288556289,2.0,0.791205726503672,0.7452197687802146,0.5114204916249728,0.7890706702399992,0.4028659531358338,0.11091954467842026,0.029351486549651355,21514.0,0.360548082620905,-0.20680470603246387,1.0019536914337852,14671.0,3372.0,1120.0,2351.0,False,0.5466437065927551,0.49818376022790467,74,703101,0.7707647413260675,0.16494452271925228,,,,
static_dynamic,static_dynamic__existing_transformer_no_id,ensemble,validation,raw,isotonic,0.26,20494.0,0.16746364789694546,0.5025373279984385,2.0,0.6040304479359813,0.6895679926684499,0.4090015293860607,0.7782865688115659,0.4304179183127563,0.20852483191315585,0.2687045420556128,20494.0,0.762475329548269,-1.9052151737325422,0.43795137124349,9571.0,7491.0,624.0,2808.0,False,0.6025618512618339,0.5465046088095569,75,662644,0.7529484647726992,0.2312073954121254,,,,
static_dynamic,static_dynamic__existing_transformer_no_id,ensemble,validation,validation_calibrated,isotonic,0.26,20494.0,0.16746364789694546,0.19230018542012298,2.0,0.8319020201034449,0.7281947724451534,0.5327546453275465,0.7842112879696398,0.43082995426302395,0.11077570697513733,3.0565803945990483e-17,20494.0,0.3638411260294941,-0.00036405414286774665,0.9996132879119021,15085.0,1977.0,1468.0,1964.0,False,0.6103916101765401,0.5638374451439989,75,662644,0.7598711864156314,0.2243146019229788,,,,
static_dynamic,static_dynamic__existing_transformer_no_id,ensemble,test,raw,isotonic,0.26,21514.0,0.16133680394161942,0.7601561773728734,2.0,0.36576182950636793,0.5775503118426734,0.3117276166456494,0.7154766631709042,0.36285494948171465,0.3201841947172826,0.3993780046965233,21514.0,1.0300132548857668,-2.100610816059265,0.4038151254181907,4779.0,13264.0,381.0,3090.0,False,0.5356239580350101,0.47256937481243805,74,703101,0.6832379111130219,0.16080871798137072,,,,
static_dynamic,static_dynamic__existing_transformer_no_id,ensemble,test,validation_calibrated,isotonic,0.26,21514.0,0.16133680394161942,0.2449102909733197,2.0,0.7725202193920238,0.6842865677024027,0.440045766590389,0.7159195135063644,0.3541139054374183,0.12407858508876167,0.05960472483628847,21514.0,0.4062462528152282,-0.5542342123431643,0.8103503752864585,14697.0,3346.0,1548.0,1923.0,False,0.5207167239018957,0.47834308299945527,74,703101,0.6827366279368959,0.157497165840302,,,,
