model_variant,score,split,threshold,validation_f1,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
legacy_target_purge18,family_prior_residual,test,0.43,0.3839957975836106,19764,3415,0.17278890912770695,0.29790226180710183,0.5324360017900182,0.473479950999282,0.16681110112365843,,,0.6907002631046347
corrected_asset_conditioned,transformer,test,0.23,0.5577188795377465,21514,3471,0.16133680394161942,0.5114204916249728,0.7452197687802146,0.7890706702399992,0.4028659531358338,0.11091954709217543,0.36054808768964586,0.2660128288556289
corrected_asset_conditioned,static_asset_prior,test,0.25,0.5716719396446824,21514,3471,0.16133680394161942,0.5638185032410136,0.7719095311429355,0.8239058561294393,0.45307282583307684,0.10325009972216408,0.3388593980264592,0.23305754392488612
corrected_asset_conditioned,static_family_prior,test,0.18,0.5649122807017544,21514,3471,0.16133680394161942,0.5551912568306011,0.7606306235402023,0.816548771506871,0.41485020028577724,0.10488716626764932,0.3449070152975175,0.2214372036813238
corrected_asset_conditioned,within_asset_centred,test,0.5,0.31111391129032256,21514,3471,0.16133680394161942,0.22636189708992044,0.43190114054659234,0.41430716272993806,0.13845155362400174,,,0.7618759877289207
corrected_asset_conditioned,asset_prior_residual,test,0.47000000000000003,0.30788584008176745,21514,3471,0.16133680394161942,0.23255813953488372,0.48237392752960123,0.4349282172730776,0.1328521601296336,,,0.5222180905456911
corrected_asset_conditioned,family_prior_residual,test,0.44,0.3526907356948229,21514,3471,0.16133680394161942,0.30787413207268427,0.5789801446344773,0.49261813383384384,0.15748860513583574,,,0.46792786092776795
no_explicit_asset_id,transformer,test,0.26,0.5327546453275465,21514,3471,0.16133680394161942,0.440045766590389,0.6842865677024027,0.7159195135063644,0.3541139054374183,0.12407858185174792,0.4062462441204096,0.2449102909733197
no_explicit_asset_id,static_asset_prior,test,0.25,0.5716719396446824,21514,3471,0.16133680394161942,0.5638185032410136,0.7719095311429355,0.8239058561294393,0.45307282583307684,0.10325009972216408,0.3388593980264592,0.23305754392488612
no_explicit_asset_id,static_family_prior,test,0.18,0.5649122807017544,21514,3471,0.16133680394161942,0.5551912568306011,0.7606306235402023,0.816548771506871,0.41485020028577724,0.10488716626764932,0.3449070152975175,0.2214372036813238
no_explicit_asset_id,within_asset_centred,test,0.5,0.3885151763740771,21514,3471,0.16133680394161942,0.27740242336255516,0.526557751143899,0.41982503208307725,0.1296514320102641,,,0.6710978897462118
no_explicit_asset_id,asset_prior_residual,test,0.43,0.3105923391695177,21514,3471,0.16133680394161942,0.2381449759766033,0.4571836002450882,0.31755459560073634,0.11178628735032167,,,0.7286882959933066
no_explicit_asset_id,family_prior_residual,test,0.38,0.3362291929173022,21514,3471,0.16133680394161942,0.25560174389131096,0.482561018603195,0.3582528919159204,0.1268211771316787,,,0.7555545226364228
no_macro,transformer,test,0.25,0.565530258346113,21514,3471,0.16133680394161942,0.5548165137614679,0.7700348919982168,0.806789785271278,0.40442123840172517,0.10572192915858056,0.3446322177890762,0.2439806637538347
no_macro,static_asset_prior,test,0.25,0.5716719396446824,21514,3471,0.16133680394161942,0.5638185032410136,0.7719095311429355,0.8239058561294393,0.45307282583307684,0.10325009972216408,0.3388593980264592,0.23305754392488612
no_macro,static_family_prior,test,0.18,0.5649122807017544,21514,3471,0.16133680394161942,0.5551912568306011,0.7606306235402023,0.816548771506871,0.41485020028577724,0.10488716626764932,0.3449070152975175,0.2214372036813238
no_macro,within_asset_centred,test,0.5,0.314299839327648,21514,3471,0.16133680394161942,0.2884604882311179,0.5423843753772819,0.5253188655743851,0.17158102205228326,,,0.6897833968578599
no_macro,asset_prior_residual,test,0.4,0.34412855377008655,21514,3471,0.16133680394161942,0.33282042514389926,0.6114776980558289,0.5478555478075975,0.16531417310530283,,,0.6542716370735335
no_macro,family_prior_residual,test,0.45,0.40842204132748905,21514,3471,0.16133680394161942,0.40087368037859483,0.688429931614596,0.6050624877319782,0.22369324059160192,,,0.4770846890396951
