variant,seed,group,feature_names,method,n_obs,mean_signed_probability_delta,mean_absolute_probability_delta,mean_absolute_logit_attribution,status
no_explicit_asset_id,7,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,integrated_gradients_raw_logit,48,,,0.054235056042671204,completed
no_explicit_asset_id,7,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,integrated_gradients_raw_logit,48,,,0.148601233959198,completed
no_explicit_asset_id,42,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,train_mean_scaled_zero_occlusion,144,-0.0010348823852837086,0.21197353303432465,,completed
no_explicit_asset_id,42,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,within_window_circular_shift,144,-0.05397380143404007,0.19821274280548096,,completed
no_explicit_asset_id,42,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,train_mean_scaled_zero_occlusion,144,0.03866373002529144,0.062433287501335144,,completed
no_explicit_asset_id,42,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,within_window_circular_shift,144,-0.002974233590066433,0.05235865339636803,,completed
no_explicit_asset_id,42,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,train_mean_scaled_zero_occlusion,144,-0.02200978621840477,0.10118111968040466,,completed
no_explicit_asset_id,42,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,within_window_circular_shift,144,0.06079741194844246,0.11890978366136551,,completed
no_explicit_asset_id,42,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,train_mean_scaled_zero_occlusion,144,-0.3233075439929962,0.347688764333725,,completed
no_explicit_asset_id,42,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,within_window_circular_shift,144,0.022460512816905975,0.33056387305259705,,completed
