split,asset_id,endpoints,positives,negatives,prevalence,raw_comparable_pairs,outcome_disjoint_pairs,selected_pairs,unique_endpoints,minimum_origin_distance,median_origin_distance,status,asset_ticker,family,registry_sha256
validation,33,238,46,192,0.19327731092436976,8832,8353,4096,238,10.0,74.0,selected,IWM,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,34,238,20,218,0.08403361344537816,4360,4162,4096,238,10.0,89.0,selected,IYR,Real assets,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,35,238,8,230,0.03361344537815126,1840,1752,1752,234,10.0,81.5,selected,JNK,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,36,379,211,168,0.5567282321899736,35448,34178,4096,379,10.0,117.0,selected,LINK-USD,Crypto,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,37,238,1,237,0.004201680672268907,237,219,219,220,10.0,118.0,selected,LQD,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,38,379,156,223,0.41160949868073876,34788,33496,4096,379,10.0,115.0,selected,LTC-USD,Crypto,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,39,238,23,215,0.09663865546218488,4945,4700,4096,238,10.0,75.0,selected,MTUM,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,40,238,12,226,0.05042016806722689,2712,2558,2558,238,10.0,70.0,selected,MUB,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,41,238,64,174,0.2689075630252101,11136,10495,4096,238,10.0,74.0,selected,PALL,Commodities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,42,238,25,213,0.10504201680672269,5325,4995,4096,238,10.0,73.0,selected,PPLT,Commodities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,43,238,23,215,0.09663865546218488,4945,4723,4096,238,10.0,75.0,selected,QQQ,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
